Running on host bp1-compute202.data.bp.acrc.priv
Started on Thu Mar  7 16:27:26 GMT 2024
Directory is /user/home/pq20206/XYZ_heisenberg
Slurm job ID is 8067689
This jobs runs on the following machines:
bp1-compute202




Ended on: Thu Mar  7 16:28:34 GMT 2024
After sweep 105: maxlinkdim=27 maxerr=9.22E-11 current_time=0.0 + 5.25im time=3.727
After sweep 106: maxlinkdim=27 maxerr=9.54E-11 current_time=0.0 + 5.3im time=3.869
After sweep 107: maxlinkdim=27 maxerr=9.92E-11 current_time=0.0 + 5.35im time=3.919
After sweep 108: maxlinkdim=28 maxerr=8.86E-11 current_time=0.0 + 5.4im time=4.287
After sweep 109: maxlinkdim=28 maxerr=9.94E-11 current_time=0.0 + 5.45im time=3.67
After sweep 110: maxlinkdim=28 maxerr=8.87E-11 current_time=0.0 + 5.5im time=3.644
After sweep 111: maxlinkdim=28 maxerr=9.50E-11 current_time=0.0 + 5.55im time=6.109
After sweep 112: maxlinkdim=28 maxerr=9.41E-11 current_time=0.0 + 5.6im time=4.24
After sweep 113: maxlinkdim=28 maxerr=9.95E-11 current_time=0.0 + 5.65im time=4.237
After sweep 114: maxlinkdim=28 maxerr=8.94E-11 current_time=0.0 + 5.7im time=3.616
After sweep 115: maxlinkdim=28 maxerr=9.84E-11 current_time=0.0 + 5.75im time=3.72
After sweep 116: maxlinkdim=29 maxerr=9.06E-11 current_time=0.0 + 5.8im time=3.932
After sweep 117: maxlinkdim=29 maxerr=9.59E-11 current_time=0.0 + 5.85im time=4.003
After sweep 118: maxlinkdim=29 maxerr=8.95E-11 current_time=0.0 + 5.9im time=4.038
After sweep 119: maxlinkdim=29 maxerr=9.80E-11 current_time=0.0 + 5.95im time=3.884
After sweep 120: maxlinkdim=30 maxerr=9.53E-11 current_time=0.0 + 6.0im time=4.039
After sweep 121: maxlinkdim=30 maxerr=9.66E-11 current_time=0.0 + 6.05im time=5.285
After sweep 122: maxlinkdim=30 maxerr=9.45E-11 current_time=0.0 + 6.1im time=4.223
After sweep 123: maxlinkdim=30 maxerr=9.40E-11 current_time=0.0 + 6.15im time=3.973
After sweep 124: maxlinkdim=31 maxerr=9.24E-11 current_time=0.0 + 6.2im time=4.643
After sweep 125: maxlinkdim=31 maxerr=9.86E-11 current_time=0.0 + 6.25im time=4.793
