times,C_5,C_10,C_20,C_30,C_40,C_50
1.05,1.563499322089800376809979652047557239442404773753499222944257640577347956423182e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38
1.1,2.62836059863425889115117424894115499637709861915726798585276139405000029536526e-38,-0.0,-0.0,-0.0,-0.0,-0.0
1.1500000000000001,1.287992833615827003141985746077074477115419404146943438137214282177005821583939e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38
1.2000000000000002,3.133886306391448528413891300097014664182692069432296527930433686631699551903232e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38
1.2500000000000002,6.856093760045031388030545867734240537863261755684856174034198794675631916106795e-39,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38
1.3000000000000003,4.591774807899562209328994098155528856552689645277855806184625869891704359404142e-40,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38
1.3500000000000003,8.699117373565734219805888739377258833928942733108304350833352639149914988816282e-38,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39
1.4000000000000004,1.065865727283685629675007206465466229376420241247048051250703090363227854981044e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38
1.4500000000000004,9.573850474470586415257785949833178802289197163047938227128778647862009673622966e-39,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40
1.5000000000000004,1.019374007353705058438425915282226857851017740132316928024073847874934070637978e-38,-0.0,-0.0,-0.0,-0.0,-0.0
1.5500000000000005,8.210093356524418489664003771217319250602972172270484431782812862676911112031442e-38,1.878035896430920537415355453237459514614241763698557682332036915992539485021175e-38,1.878035896430920537415355453237459514614241763698557682332036915992539485021175e-38,1.878035896430920537415355453237459514614241763698557682332036915992539485021175e-38,1.878035896430920537415355453237459514614241763698557682332036915992539485021175e-38,1.878035896430920537415355453237459514614241763698557682332036915992539485021175e-38
1.6000000000000005,0.0,1.19917068967551779011381283267464462189042627070871753566236687269238579716958e-38,1.19917068967551779011381283267464462189042627070871753566236687269238579716958e-38,1.19917068967551779011381283267464462189042627070871753566236687269238579716958e-38,1.19917068967551779011381283267464462189042627070871753566236687269238579716958e-38,1.19917068967551779011381283267464462189042627070871753566236687269238579716958e-38
1.6500000000000006,5.510129769479471388542558918524371272716172946059649116839422009386771351966743e-39,1.141056039763043544261591518363613917299847727038503664391038385099491812433951e-38,1.141056039763043544261591518363613917299847727038503664391038385099491812433951e-38,1.141056039763043544261591518363613917299847727038503664391038385099491812433951e-38,1.141056039763043544261591518363613917299847727038503664391038385099491812433951e-38,1.141056039763043544261591518363613917299847727038503664391038385099491812433951e-38
1.7000000000000006,7.851934921508247283324026238771813833995545734941542226095138299238305736036707e-39,5.785636257953441760570497545173571748307868057654329279110906656062501517833216e-39,5.785636257953441760570497545173571748307868057654329279110906656062501517833216e-39,5.785636257953441760570497545173571748307868057654329279110906656062501517833216e-39,5.785636257953441760570497545173571748307868057654329279110906656062501517833216e-39,5.785636257953441760570497545173571748307868057654329279110906656062501517833216e-39
1.7500000000000007,3.199222239654165118987048322113646444909560254936089734366957540313011068900446e-37,1.625033140255228350870059106276230147246246822740451818908239827196911627955127e-38,1.625033140255228350870059106276230147246246822740451818908239827196911627955127e-38,1.625033140255228350870059106276230147246246822740451818908239827196911627955127e-38,1.625033140255228350870059106276230147246246822740451818908239827196911627955127e-38,1.625033140255228350870059106276230147246246822740451818908239827196911627955127e-38
1.8000000000000007,1.032915483089672516480421835647281396772208512298639370876497902721754358343087e-37,2.544201975983223191359392947473876118860534937985411583959462153331489316364997e-38,2.544201975983223191359392947473876118860534937985411583959462153331489316364997e-38,2.544201975983223191359392947473876118860534937985411583959462153331489316364997e-38,2.544201975983223191359392947473876118860534937985411583959462153331489316364997e-38,2.544201975983223191359392947473876118860534937985411583959462153331489316364997e-38
1.8500000000000008,5.32850355188262677926094006191269173135224757606345432053299133690604434176109e-38,0.0,0.0,0.0,0.0,0.0
1.9000000000000008,1.84119407824566312380374933419432446638823303014658714673390651405115047867169e-38,2.764450819075777562316871485566854042714382273446053598829159715356603487486921e-38,2.764450819075777562316871485566854042714382273446053598829159715356603487486921e-38,2.764450819075777562316871485566854042714382273446053598829159715356603487486921e-38,2.764450819075777562316871485566854042714382273446053598829159715356603487486921e-38,2.764450819075777562316871485566854042714382273446053598829159715356603487486921e-38
1.9500000000000008,4.79757958971925783625751035338252095953275910933463153209645525309489019984423e-38,1.323866074302543364206348103173220603723251590906591154080476521279232114682529e-38,1.323866074302543364206348103173220603723251590906591154080476521279232114682529e-38,1.323866074302543364206348103173220603723251590906591154080476521279232114682529e-38,1.323866074302543364206348103173220603723251590906591154080476521279232114682529e-38,1.323866074302543364206348103173220603723251590906591154080476521279232114682529e-38
2.000000000000001,2.734688884029684134834268251517784842199892327935359912374734215156951060435564e-38,2.099437130158539437036076381426584504297240603686392095652930202986636301906843e-38,2.099437130158539437036076381426584504297240603686392095652930202986636301906843e-38,2.099437130158539437036076381426584504297240603686392095652930202986636301906843e-38,2.099437130158539437036076381426584504297240603686392095652930202986636301906843e-38,2.099437130158539437036076381426584504297240603686392095652930202986636301906843e-38
2.0500000000000007,1.471981360163824842532970027274416455343464171659331318742053661749148646755795e-39,0.0,0.0,0.0,0.0,0.0
2.1000000000000005,1.522460334744199685470195937610627117228805824555815756737335953229674918518325e-39,4.914920960005487977484970055277354535861590956004576776391320568704225348882253e-38,4.914920960005487977484970055277354535861590956004576776391320568704225348882253e-38,4.914920960005487977484970055277354535861590956004576776391320568704225348882253e-38,4.914920960005487977484970055277354535861590956004576776391320568704225348882253e-38,4.914920960005487977484970055277354535861590956004576776391320568704225348882253e-38
2.1500000000000004,4.781185518725419409436836178395886575700285554264798475079698179136847028400447e-39,5.626789548192677168830627393097207722485779026630363920007663412503732527367928e-38,5.626789548192677168830627393097207722485779026630363920007663412503732527367928e-38,5.626789548192677168830627393097207722485779026630363920007663412503732527367928e-38,5.626789548192677168830627393097207722485779026630363920007663412503732527367928e-38,5.626789548192677168830627393097207722485779026630363920007663412503732527367928e-38
2.2,3.108631544948010341673309393930448942521824006039501419762050718503952953531131e-38,0.0,0.0,0.0,0.0,0.0
2.25,6.087330212128728669689688427029252939207969068823420310686355146553969168453126e-39,2.523117478769609917953948221845597682547540788369791969703281119726036708654887e-38,2.523117478769609917953948221845597682547540788369791969703281119726036708654887e-38,2.523117478769609917953948221845597682547540788369791969703281119726036708654887e-38,2.523117478769609917953948221845597682547540788369791969703281119726036708654887e-38,2.523117478769609917953948221845597682547540788369791969703281119726036708654887e-38
2.3,0.0,2.340657208326802675114910408595090299819919967975282127033542965168808093425961e-37,2.340657208326802675114910408595090299819919967975282127033542965168808093425961e-37,2.340657208326802675114910408595090299819919967975282127033542965168808093425961e-37,2.340657208326802675114910408595090299819919967975282127033542965168808093425961e-37,2.340657208326802675114910408595090299819919967975282127033542965168808093425961e-37
2.3499999999999996,7.830769709503089161467475026260518966925154212499972752577074381258362986705693e-39,9.517888218999293554921759089031143264905704555113512870240817389563562804490039e-39,9.517888218999293554921759089031143264905704555113512870240817389563562804490039e-39,9.517888218999293554921759089031143264905704555113512870240817389563562804490039e-39,9.517888218999293554921759089031143264905704555113512870240817389563562804490039e-39,9.517888218999293554921759089031143264905704555113512870240817389563562804490039e-39
2.3999999999999995,0.0,4.972892116955224105977115897701922144834432804625667132007726944920023015583865e-38,4.972892116955224105977115897701922144834432804625667132007726944920023015583865e-38,4.972892116955224105977115897701922144834432804625667132007726944920023015583865e-38,4.972892116955224105977115897701922144834432804625667132007726944920023015583865e-38,4.972892116955224105977115897701922144834432804625667132007726944920023015583865e-38
