times,C_5,C_10,C_20,C_30,C_40,C_50,SvN,chi
1.05,1.563499322089800376809979652047557239442404773753499222944257640577347956423182e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,3.18267391372538031550645698950491211056228818815306038885364648496895887685619e-38,"[-1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.5375257450832578e-12, 0.020040310365209993, 0.016684335399538064, 0.7554523510252329, 0.01894634651594651, 0.7554507028039256, 0.016611043342297238, 0.01995529080666114, -2.213562666497637e-12, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
1.1,2.62836059863425889115117424894115499637709861915726798585276139405000029536526e-38,-0.0,-0.0,-0.0,-0.0,-0.0,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -4.484190796461007e-12, 0.024917649008374478, 0.020515025210127824, 0.7869808466150074, 0.024902028229593975, 0.7869801854132952, 0.020438881291164, 0.024828647318860236, -3.960942684955171e-12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
1.1500000000000001,1.287992833615827003141985746077074477115419404146943438137214282177005821583939e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,3.799873019740323087028603675707372595811233145690537024517050797162211607243093e-38,"[0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.712959741615194e-9, -6.831646359728438e-12, 0.03057506279211663, 0.02490699222131587, 0.8172618143451437, 0.032145669033460056, 0.8172623832618178, 0.0248285243205566, 0.030482709689269763, 1.0629938076434087e-6, 1.074221730633795e-6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0]",8
1.2000000000000002,3.133886306391448528413891300097014664182692069432296527930433686631699551903232e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,4.193617709517707796470563187496028969791052612966852654087970455565335785031647e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.029496020858357e-6, 4.993158041921575e-6, 0.03706405447497052, 0.029892384991645704, 0.8464161240180204, 0.04081429797673253, 0.8464181592012557, 0.029812131545985165, 0.03696901910349665, 9.804840650051716e-6, 9.860321843640152e-6, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0]",8
1.2500000000000002,6.856093760045031388030545867734240537863261755684856174034198794675631916106795e-39,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,6.901437536273048945176758196957487422829198313133353431659554332344880104313273e-38,"[-1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 2.1322867967200433e-5, 2.1192238132128338e-5, 0.04442964713865947, 0.0355002306297163, 0.8745804841324748, 0.05103359221740056, 0.874584209301822, 0.03541875231964542, 0.04433264400598983, 2.9608622337917723e-5, 2.9775914606505967e-5, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",8
1.3000000000000003,4.591774807899562209328994098155528856552689645277855806184625869891704359404142e-40,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,2.73698477143363339309891225018508490396585316857712593972204035031595227345452e-38,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.2414027830012366e-5, 5.20719301642103e-5, 0.052709367313121584, 0.041756220579720615, 0.90190246093193, 0.0629137511220157, 0.90190807920934, 0.041674088079883376, 0.0526111388863271, 6.412759296092752e-5, 6.453099602733099e-5, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
1.3500000000000003,8.699117373565734219805888739377258833928942733108304350833352639149914988816282e-38,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,4.040761830951612003581638246996564175442841000094539714953482376538749777648334e-39,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.00010290875558744253, 0.0001021504871601131, 0.06193234258219564, 0.04868245821647066, 0.9285356196521288, 0.07654581904222102, 0.9285433078115597, 0.04860024245561467, 0.0618336417417785, 0.00011790103505626703, 0.00011875405267737872, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",8
1.4000000000000004,1.065865727283685629675007206465466229376420241247048051250703090363227854981044e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,2.957102976287312836038993332394014688674350617064347022550328346968052852788467e-38,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00017839844562030663, 0.00017688659647618898, 0.07211858188058853, 0.056297205487093605, 0.9546348571692315, 0.09199860867743936, 0.9546447602379248, 0.056215468550097736, 0.0720201543640013, 0.00019637283261220162, 0.00019802336871940535, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",8
1.4500000000000004,9.573850474470586415257785949833178802289197163047938227128778647862009673622966e-39,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,1.147943701974890144500719274631099294744790582785241720223390338162516854936257e-40,"[0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002855072113906547, 0.00028271052611206215, 0.08327845077523463, 0.0646145970104226, 0.9803520356580785, 0.10931635131602868, 0.980364262454728, 0.06453388355197531, 0.0831810180180675, 0.0003059414397892368, 0.0003089328747563998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0]",8
1.5000000000000004,1.019374007353705058438425915282226857851017740132316928024073847874934070637978e-38,-0.0,-0.0,-0.0,-0.0,-0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.00043195280456396194, 0.00042706578379125837, 0.09541234882554013, 0.07364431129443827, 1.005832019841191, 0.12851715824467536, 1.0058466304864842, 0.07356514014117232, 0.09531659114567402, 0.000454007975521975, 0.00045915939134533895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",8
